index,age_range,bmi_grade,gender,ability,sports_step,recommend_rank,ex_recommend,video_url,space
204,1,0,0,1,0,5,몸통 비틀기,https://www.youtube.com/watch?v=rsRM5ivIHCw,0
205,1,0,0,1,2,1,온 몸 뻗어주기,https://www.youtube.com/watch?v=baeEwhAaAcw,0
206,1,0,0,1,2,2,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
207,1,0,0,1,2,3,복식 호흡,https://www.youtube.com/watch?v=mZTd06yXVT0,0
208,1,0,0,1,2,4,짝 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=nzn5cX71hUM,0
209,1,0,0,1,2,5,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
210,1,0,0,2,1,1,맨몸운동 루틴프로그램,https://www.youtube.com/watch?v=8rYcSq4lF20,0
211,1,0,0,2,1,2,줄넘기,https://www.youtube.com/watch?v=7SPFH6HcK-g,1
212,1,0,0,2,1,3,조깅,https://www.youtube.com/watch?v=RpSDn8NCm04,1
213,1,0,0,2,1,4,버피 테스트,https://www.youtube.com/watch?v=pTtqoa8qCKw,0
214,1,0,0,2,1,5,자전거타기,https://www.youtube.com/watch?v=o9w8lVE5lWs,1
215,1,0,0,2,0,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
216,1,0,0,2,0,2,목 돌리기,https://www.youtube.com/watch?v=-UCNGXY5n-k,0
217,1,0,0,2,0,3,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
218,1,0,0,2,0,4,양발 벌려 무릎 밀어내기,https://www.youtube.com/watch?v=UdZGUv4wlXY,0
219,1,0,0,2,0,5,몸통 비틀기,https://www.youtube.com/watch?v=rsRM5ivIHCw,0
220,1,0,0,2,2,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
221,1,0,0,2,2,2,온 몸 뻗어주기,https://www.youtube.com/watch?v=baeEwhAaAcw,0
222,1,0,0,2,2,3,복식 호흡,https://www.youtube.com/watch?v=mZTd06yXVT0,0
223,1,0,0,2,2,4,짝 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=nzn5cX71hUM,0
224,1,0,0,2,2,5,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
225,1,0,0,3,1,1,맨몸운동 루틴프로그램,https://www.youtube.com/watch?v=8rYcSq4lF20,0
226,1,0,0,3,1,2,줄넘기,https://www.youtube.com/watch?v=7SPFH6HcK-g,1
